idx,repeat,params_lambda_ridge,params_lambda_,params_gamma,mse,r2,f1,tpr,fdr,precision,recall,sparsity,n_selected,fold,train_time
0,0,1.0,0.01,0.5,2.7625379546711337,0.9718611103356287,0.19138755980861244,1.0,0.8941798941798942,0.10582010582010581,1.0,0.622,189,0,0.0400693416595459
0,1,1.0,0.01,0.5,3.5544742909531095,0.9554902457094885,0.18181818181818182,1.0,0.9,0.1,1.0,0.6,200,1,0.04700803756713867
0,2,1.0,0.01,0.5,4.516053673199965,0.934104316069483,0.17937219730941703,1.0,0.9014778325123153,0.09852216748768473,1.0,0.594,203,2,0.03831982612609863
0,3,1.0,0.01,0.5,1.8631900254611018,0.978003176831054,0.1851851851851852,1.0,0.8979591836734694,0.10204081632653061,1.0,0.608,196,3,0.04735589027404785
0,4,1.0,0.01,0.5,5.044952873261829,0.9174890088134918,0.18181818181818182,1.0,0.9,0.1,1.0,0.6,200,4,0.0474550724029541
1,0,1.0,0.01,1.0,3.0192917269044104,0.9692458463333489,0.17094017094017094,1.0,0.9065420560747663,0.09345794392523364,1.0,0.5720000000000001,214,0,0.08893251419067383
1,1,1.0,0.01,1.0,4.4550413124373245,0.9442131865532519,0.16597510373443985,1.0,0.9095022624434389,0.09049773755656108,1.0,0.558,221,1,0.1312105655670166
1,2,1.0,0.01,1.0,5.489850378747793,0.9198952289848537,0.15564202334630348,1.0,0.9156118143459916,0.08438818565400844,1.0,0.526,237,2,0.16480183601379395
1,3,1.0,0.01,1.0,2.0807822674219674,0.9754342826206188,0.16736401673640167,1.0,0.908675799086758,0.091324200913242,1.0,0.562,219,3,0.11129498481750488
1,4,1.0,0.01,1.0,5.701877798109283,0.9067448991962219,0.17316017316017313,1.0,0.9052132701421801,0.0947867298578199,1.0,0.5780000000000001,211,4,0.07490730285644531
2,0,1.0,0.01,2.0,4.131843132865374,0.957913527367254,0.12861736334405147,1.0,0.9312714776632303,0.06872852233676977,1.0,0.41800000000000004,291,0,0.18054461479187012
2,1,1.0,0.01,2.0,4.727686398688218,0.9407990766725223,0.10989010989010987,1.0,0.9418604651162791,0.05813953488372093,1.0,0.31200000000000006,344,1,0.1781024932861328
2,2,1.0,0.01,2.0,12.334299914781202,0.8200249183237206,0.087527352297593,1.0,0.954233409610984,0.04576659038901602,1.0,0.126,437,2,0.20385050773620605
2,3,1.0,0.01,2.0,3.9395784973030126,0.9534893326063667,0.11331444759206799,1.0,0.93993993993994,0.06006006006006006,1.0,0.33399999999999996,333,3,0.18802523612976074
2,4,1.0,0.01,2.0,6.944193129149837,0.8864266381726901,0.1384083044982699,1.0,0.9256505576208178,0.07434944237918216,1.0,0.46199999999999997,269,4,0.16907906532287598
3,0,1.0,0.1,0.5,1.4602689020214756,0.985125871141493,0.4347826086956522,1.0,0.7222222222222222,0.2777777777777778,1.0,0.856,72,0,0.014264583587646484
3,1,1.0,0.1,0.5,1.5931367503125893,0.9800504604891703,0.38095238095238093,1.0,0.7647058823529411,0.23529411764705882,1.0,0.83,85,1,0.014751434326171875
3,2,1.0,0.1,0.5,2.955507685643805,0.9568749146045026,0.38834951456310685,1.0,0.7590361445783133,0.24096385542168675,1.0,0.834,83,2,0.016095876693725586
3,3,1.0,0.1,0.5,1.278775326409476,0.9849027773101785,0.44943820224719105,1.0,0.7101449275362319,0.2898550724637681,1.0,0.862,69,3,0.014940023422241211
3,4,1.0,0.1,0.5,2.221310833823982,0.9636701148184078,0.4444444444444445,1.0,0.7142857142857143,0.2857142857142857,1.0,0.86,70,4,0.014006853103637695
4,0,1.0,0.1,1.0,1.9472550238647108,0.9801654872570087,0.2684563758389262,1.0,0.8449612403100775,0.15503875968992248,1.0,0.742,129,0,0.018058300018310547
4,1,1.0,0.1,1.0,2.9126055462724465,0.9635278393939358,0.223463687150838,1.0,0.8742138364779874,0.12578616352201258,1.0,0.6819999999999999,159,1,0.02496814727783203
4,2,1.0,0.1,1.0,4.424337979429233,0.9354425792535656,0.18181818181818182,1.0,0.9,0.1,1.0,0.6,200,2,0.047560930252075195
4,3,1.0,0.1,1.0,1.7821006260706096,0.9789605183554791,0.23391812865497078,1.0,0.8675496688741722,0.13245033112582782,1.0,0.698,151,3,0.024952411651611328
4,4,1.0,0.1,1.0,3.4562398085798036,0.9434726588040843,0.2666666666666667,1.0,0.8461538461538461,0.15384615384615385,1.0,0.74,130,4,0.018407583236694336
5,0,1.0,0.1,2.0,3.3931325323901884,0.9654379474555012,0.15444015444015444,1.0,0.9163179916317992,0.08368200836820083,1.0,0.522,239,0,0.14755463600158691
5,1,1.0,0.1,2.0,4.721623060637344,0.9408750028615263,0.13986013986013984,1.0,0.924812030075188,0.07518796992481203,1.0,0.46799999999999997,266,1,0.15781617164611816
5,2,1.0,0.1,2.0,10.66033047151469,0.8444505273454735,0.09456264775413711,1.0,0.9503722084367245,0.04962779156327544,1.0,0.19399999999999995,403,2,0.16172266006469727
5,3,1.0,0.1,2.0,2.432680663913545,0.9712797698252075,0.14652014652014653,1.0,0.9209486166007905,0.07905138339920949,1.0,0.494,253,3,0.1522672176361084
5,4,1.0,0.1,2.0,6.495802448164434,0.8937601377030788,0.16194331983805668,1.0,0.9118942731277533,0.0881057268722467,1.0,0.546,227,4,0.13280320167541504
6,0,1.0,0.5,0.5,1.684216124412537,0.9828447708326812,0.888888888888889,1.0,0.2,0.8,1.0,0.95,25,0,0.011616706848144531
6,1,1.0,0.5,0.5,1.222806716851019,0.9846877985162662,0.8695652173913044,1.0,0.23076923076923078,0.7692307692307693,1.0,0.948,26,1,0.011809825897216797
6,2,1.0,0.5,0.5,2.9534261566868847,0.9569052870898987,0.8695652173913044,1.0,0.23076923076923078,0.7692307692307693,1.0,0.948,26,2,0.01225733757019043
6,3,1.0,0.5,0.5,1.6763067481100835,0.9802095209768188,0.9090909090909091,1.0,0.16666666666666666,0.8333333333333334,1.0,0.952,24,3,0.011481761932373047
6,4,1.0,0.5,0.5,2.0835470591174774,0.9659232628430154,0.888888888888889,1.0,0.2,0.8,1.0,0.95,25,4,0.012452125549316406
7,0,1.0,0.5,1.0,1.3774419243799634,0.9859695370832213,0.5970149253731344,1.0,0.574468085106383,0.425531914893617,1.0,0.906,47,0,0.012295007705688477
7,1,1.0,0.5,1.0,1.4973070537127267,0.9812504568600121,0.43010752688172044,1.0,0.726027397260274,0.273972602739726,1.0,0.854,73,1,0.013481378555297852
7,2,1.0,0.5,1.0,3.3461764067680146,0.9511744990577363,0.272108843537415,1.0,0.84251968503937,0.15748031496062992,1.0,0.746,127,2,0.017903566360473633
7,3,1.0,0.5,1.0,1.2905890721968818,0.9847633042164536,0.5333333333333333,1.0,0.6363636363636364,0.36363636363636365,1.0,0.89,55,3,0.012914419174194336
7,4,1.0,0.5,1.0,1.9822596639233474,0.9675798339908771,0.7272727272727273,1.0,0.42857142857142855,0.5714285714285714,1.0,0.9299999999999999,35,4,0.013763427734375
8,0,1.0,0.5,2.0,3.08603145654628,0.9685660432249619,0.1762114537444934,1.0,0.9033816425120773,0.0966183574879227,1.0,0.5860000000000001,207,0,0.10418486595153809
8,1,1.0,0.5,2.0,4.718408828338713,0.94091525204555,0.15384615384615385,1.0,0.9166666666666666,0.08333333333333333,1.0,0.52,240,1,0.15134239196777344
8,2,1.0,0.5,2.0,8.489851899685126,0.8761209148778469,0.11299435028248588,1.0,0.9401197604790419,0.059880239520958084,1.0,0.33199999999999996,334,2,0.16000103950500488
8,3,1.0,0.5,2.0,2.1752112764228113,0.9743194536527596,0.1606425702811245,1.0,0.9126637554585153,0.08733624454148471,1.0,0.542,229,3,0.14869093894958496
8,4,1.0,0.5,2.0,5.834875756949038,0.9045696968335177,0.18691588785046725,1.0,0.8969072164948454,0.10309278350515463,1.0,0.612,194,4,0.07787537574768066
9,0,1.0,1.0,0.5,2.4415770560784003,0.9751303806444066,0.9302325581395349,1.0,0.13043478260869565,0.8695652173913043,1.0,0.954,23,0,0.011584997177124023
9,1,1.0,1.0,0.5,1.7330575243768467,0.9782983478660492,0.9302325581395349,1.0,0.13043478260869565,0.8695652173913043,1.0,0.954,23,1,0.011773824691772461
9,2,1.0,1.0,0.5,3.351172160101481,0.951101603869486,0.888888888888889,1.0,0.2,0.8,1.0,0.95,25,2,0.011983394622802734
9,3,1.0,1.0,0.5,2.3025509578241583,0.972816081256011,0.9523809523809523,1.0,0.09090909090909091,0.9090909090909091,1.0,0.956,22,3,0.011583805084228516
9,4,1.0,1.0,0.5,2.4958280335366876,0.9591803431961419,0.9523809523809523,1.0,0.09090909090909091,0.9090909090909091,1.0,0.956,22,4,0.012291193008422852
10,0,1.0,1.0,1.0,1.3954221403164473,0.9857863926990789,0.8163265306122449,1.0,0.3103448275862069,0.6896551724137931,1.0,0.942,29,0,0.011845111846923828
10,1,1.0,1.0,1.0,1.1249368443417214,0.9859133423298534,0.5797101449275363,1.0,0.5918367346938775,0.40816326530612246,1.0,0.902,49,1,0.01240992546081543
10,2,1.0,1.0,1.0,3.1183162182190594,0.954499305194137,0.36697247706422015,1.0,0.7752808988764045,0.2247191011235955,1.0,0.8220000000000001,89,2,0.01506805419921875
10,3,1.0,1.0,1.0,1.3928566755020715,0.983555932796966,0.7142857142857143,1.0,0.4444444444444444,0.5555555555555556,1.0,0.928,36,3,0.01164388656616211
10,4,1.0,1.0,1.0,1.9686941746453086,0.967801699684052,0.8695652173913044,1.0,0.23076923076923078,0.7692307692307693,1.0,0.948,26,4,0.01268768310546875
11,0,1.0,1.0,2.0,2.9798801544996922,0.9696472880168995,0.1904761904761905,1.0,0.8947368421052632,0.10526315789473684,1.0,0.62,190,0,0.04432249069213867
